origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct,lat,lon,pct_ultra_urgent,traffic_level,fuel_cost,wage_cost,maint_cost,overhead_cost,competitor_time_hr,peak_hours
ras al khaimah,70.4,94.5,48,82.5,1.7,43.45,56.9,29.0,24.6103,54.8447,17.2,High,26.07,8.690000000000001,6.5175,2.1725000000000003,2.12,6-9 AM
al ain,40.4,14.2,44,36.3,1.2,19.18,35.3,16.5,25.4138,55.2966,9.9,Low,11.508,3.8360000000000003,2.877,0.9590000000000001,1.5,6-9 AM
sharjah,60.0,47.5,6,145.5,3.8,52.76,43.7,18.1,25.426,54.7853,14.9,Low,31.656,10.552,7.914,2.638,4.75,6-9 PM
al ain,99.8,54.5,72,82.6,2.4,37.45,39.4,21.7,24.6168,55.4757,19.1,Medium,22.470000000000002,7.490000000000001,5.617500000000001,1.8725000000000003,3.0,12-3 PM
abu dhabi,98.5,23.7,99,41.2,1.3,14.97,27.7,14.7,25.0011,55.824,10.6,Medium,8.982,2.994,2.2455,0.7485,1.62,6-9 PM
ras al khaimah,51.3,17.7,94,110.0,2.6,51.57,24.4,15.4,24.6851,55.8385,14.0,Medium,30.942,10.314,7.7355,2.5785,3.25,6-9 AM
ajman,57.4,11.3,8,75.7,1.7,34.18,11.9,7.9,25.1302,54.3142,20.8,Low,20.508,6.836,5.127,1.709,2.12,6-9 AM
ras al khaimah,89.7,7.0,41,149.5,4.3,65.4,0.9,0.5,24.0474,54.4082,10.7,Medium,39.24,13.080000000000002,9.81,3.2700000000000005,5.38,6-9 PM
ras al khaimah,98.6,50.8,1,15.8,0.5,5.84,51.8,19.4,24.2162,55.5099,17.3,Medium,3.504,1.168,0.876,0.292,0.62,6-9 AM
ajman,77.9,84.2,45,53.6,1.8,20.31,16.7,5.9,24.9213,55.262,9.6,Medium,12.185999999999998,4.062,3.0464999999999995,1.0155,2.25,6-9 PM
abu dhabi,6.5,12.7,121,141.6,3.5,58.95,35.5,18.3,24.3488,55.8102,14.2,Medium,35.37,11.790000000000001,8.8425,2.9475000000000002,4.38,6-9 PM
ajman,32.3,70.1,2,71.9,1.7,29.02,27.7,10.0,24.9991,54.6276,17.2,Medium,17.412,5.804,4.353,1.451,2.12,6-9 AM
ras al khaimah,89.7,41.3,33,50.2,1.3,19.69,6.5,3.6,24.5268,55.696,3.0,Medium,11.814,3.9380000000000006,2.9535,0.9845000000000002,1.62,6-9 PM
al ain,76.8,3.5,109,92.7,2.2,47.58,2.1,0.8,25.33,55.3676,12.3,Medium,28.548,9.516,7.137,2.379,2.75,6-9 PM
al ain,74.2,53.6,112,101.4,3.5,37.02,56.5,22.2,25.2289,54.3909,17.1,Medium,22.212,7.404000000000001,5.553,1.8510000000000002,4.38,6-9 AM
abu dhabi,66.8,25.2,179,18.5,0.4,7.39,21.7,7.2,24.7393,54.253,16.1,Medium,4.433999999999999,1.478,1.1084999999999998,0.3695,0.5,12-3 PM
ajman,41.5,60.5,115,42.6,1.0,22.37,18.8,11.9,25.1593,55.4054,12.4,Medium,13.422,4.474,3.3555,1.1185,1.25,12-3 PM
dubai,40.3,34.9,185,49.8,1.0,25.74,5.1,2.7,24.4067,54.3169,9.5,High,15.443999999999999,5.148,3.8609999999999998,1.287,1.25,6-9 AM
ras al khaimah,80.9,66.6,145,40.6,1.3,17.21,0.2,0.1,24.7414,55.5887,18.1,Medium,10.326,3.442,2.5815,0.8605,1.62,6-9 PM
al ain,29.4,91.9,110,60.5,1.6,30.54,43.4,19.9,24.2962,55.1142,13.4,Low,18.323999999999998,6.1080000000000005,4.5809999999999995,1.5270000000000001,2.0,6-9 PM
dubai,68.5,24.5,77,53.5,1.3,20.73,53.2,18.8,25.2913,54.9537,17.7,Medium,12.438,4.146,3.1095,1.0365,1.62,12-3 PM
ajman,72.6,94.0,23,111.1,2.9,52.8,15.3,9.8,25.2346,54.5511,16.9,Low,31.679999999999996,10.56,7.919999999999999,2.64,3.62,6-9 PM
al ain,84.5,20.4,141,91.8,2.0,47.64,26.8,11.3,25.3532,55.9677,12.8,Medium,28.584,9.528,7.146,2.382,2.5,6-9 PM
al ain,32.0,7.1,187,67.2,1.5,29.9,37.2,12.2,25.3162,55.4443,20.4,Low,17.939999999999998,5.98,4.484999999999999,1.495,1.88,6-9 PM
sharjah,74.2,19.3,73,34.0,1.2,13.26,10.0,4.4,25.4394,55.5561,12.0,Low,7.9559999999999995,2.652,1.9889999999999999,0.663,1.5,12-3 PM
dubai,10.6,81.5,71,66.0,2.0,30.64,22.2,8.8,24.3425,55.5374,21.0,Medium,18.384,6.128,4.596,1.532,2.5,6-9 PM
al ain,13.8,67.8,20,31.2,0.9,15.43,29.4,13.6,25.3977,55.168,21.6,Medium,9.258,3.0860000000000003,2.3145,0.7715000000000001,1.12,6-9 PM
al ain,41.7,97.1,119,143.1,3.9,73.81,38.7,24.9,24.8568,55.8794,20.3,Medium,44.286,14.762,11.0715,3.6905,4.88,12-3 PM
ajman,5.5,71.0,62,30.2,0.8,12.93,58.9,35.2,24.6337,55.1676,14.1,Low,7.757999999999999,2.5860000000000003,1.9394999999999998,0.6465000000000001,1.0,12-3 PM
al ain,94.8,41.3,3,129.5,4.1,53.24,29.8,11.8,24.8406,55.0401,27.7,Low,31.944,10.648000000000001,7.986,2.6620000000000004,5.12,6-9 AM
dubai,90.2,89.2,2,94.3,2.0,45.58,15.4,6.6,24.5139,54.5474,15.8,Low,27.348,9.116,6.837,2.279,2.5,12-3 PM
ajman,4.9,95.8,67,122.6,3.7,49.65,39.2,18.6,24.4328,54.5635,16.2,Medium,29.79,9.93,7.4475,2.4825,4.62,6-9 PM
dubai,83.8,79.2,93,133.8,3.8,54.02,6.9,2.5,24.362,55.4738,14.9,Low,32.412,10.804000000000002,8.103,2.7010000000000005,4.75,6-9 PM
al ain,50.9,55.7,91,121.6,3.0,47.77,0.3,0.1,24.1236,54.6695,9.4,Medium,28.662000000000003,9.554,7.165500000000001,2.3885,3.75,6-9 PM
ras al khaimah,70.2,82.6,148,90.4,2.1,38.52,22.6,9.6,24.7448,55.4574,21.5,Medium,23.112000000000002,7.704000000000001,5.7780000000000005,1.9260000000000002,2.62,6-9 AM
al ain,88.7,17.9,106,43.7,1.4,19.19,4.2,1.6,25.3316,55.9054,12.1,Low,11.514000000000001,3.8380000000000005,2.8785000000000003,0.9595000000000001,1.75,6-9 PM
ajman,57.7,90.0,157,100.7,3.4,49.39,28.6,11.7,24.9452,54.8786,19.6,Medium,29.634,9.878,7.4085,2.4695,4.25,12-3 PM
dubai,11.6,100.0,60,5.7,0.1,2.16,19.6,9.2,24.7815,54.1947,20.8,Medium,1.296,0.43200000000000005,0.324,0.10800000000000001,0.12,12-3 PM
dubai,0.3,66.5,47,59.7,1.3,26.07,53.7,34.3,24.6429,55.3331,18.0,Medium,15.642,5.214,3.9105,1.3035,1.62,6-9 AM
sharjah,49.7,19.6,108,129.4,3.9,61.91,10.7,6.1,24.6966,54.019,11.5,Medium,37.145999999999994,12.382,9.286499999999998,3.0955,4.88,6-9 PM
ras al khaimah,94.9,14.4,22,89.2,2.8,40.86,41.6,13.6,24.3139,55.574,13.3,Medium,24.516,8.172,6.129,2.043,3.5,12-3 PM
dubai,57.3,95.9,153,42.8,1.2,21.48,37.9,19.1,25.2344,55.0513,1.6,Medium,12.888,4.296,3.222,1.074,1.5,6-9 AM
al ain,37.3,87.1,37,134.4,4.6,69.97,59.7,23.5,24.2976,54.9795,14.4,High,41.982,13.994,10.4955,3.4985,5.75,12-3 PM
abu dhabi,3.1,74.9,183,7.2,0.2,2.87,34.1,10.2,25.0749,55.1389,19.0,Medium,1.722,0.5740000000000001,0.4305,0.14350000000000002,0.25,6-9 PM
sharjah,91.5,94.9,196,133.0,2.9,69.63,48.4,25.5,25.14,55.0328,13.8,Medium,41.778,13.926,10.4445,3.4815,3.62,6-9 PM
abu dhabi,32.7,50.3,107,115.1,2.5,59.78,21.1,8.0,24.8623,54.6476,12.0,Medium,35.868,11.956000000000001,8.967,2.9890000000000003,3.12,6-9 AM
sharjah,70.5,88.8,63,26.2,0.6,11.15,4.3,2.4,25.2944,54.563,13.5,High,6.69,2.23,1.6725,0.5575,0.75,6-9 PM
sharjah,69.4,16.3,68,14.1,0.5,7.14,24.3,9.8,24.4366,54.8306,21.1,Low,4.284,1.428,1.071,0.357,0.62,6-9 AM
dubai,25.4,18.3,86,142.9,4.1,64.7,40.4,16.0,25.3224,55.7898,14.7,Medium,38.82,12.940000000000001,9.705,3.2350000000000003,5.12,12-3 PM
ajman,6.4,51.2,96,14.7,0.5,7.44,15.3,8.2,25.0941,54.2707,24.3,Medium,4.464,1.4880000000000002,1.116,0.37200000000000005,0.62,12-3 PM
ras al khaimah,38.5,33.3,16,146.2,4.5,72.32,8.3,4.5,25.1981,54.6495,12.1,Medium,43.391999999999996,14.463999999999999,10.847999999999999,3.6159999999999997,5.62,12-3 PM
al ain,31.7,43.3,40,66.0,2.0,35.19,6.3,4.0,24.9969,54.3846,16.1,Medium,21.113999999999997,7.038,5.278499999999999,1.7595,2.5,6-9 AM
abu dhabi,70.0,79.8,158,56.3,1.2,22.51,31.7,12.0,25.2695,54.8543,12.8,Medium,13.506,4.502000000000001,3.3765,1.1255000000000002,1.5,6-9 AM
al ain,82.0,5.3,11,99.3,2.1,48.9,20.1,14.0,25.4896,54.267,25.4,Medium,29.339999999999996,9.780000000000001,7.334999999999999,2.4450000000000003,2.62,6-9 AM
al ain,22.2,72.1,90,76.9,2.6,27.88,45.8,20.5,24.6302,55.5216,15.9,Medium,16.727999999999998,5.5760000000000005,4.1819999999999995,1.3940000000000001,3.25,12-3 PM
al ain,52.8,8.8,175,61.6,1.7,32.4,38.3,26.4,25.2209,54.2069,25.6,Low,19.439999999999998,6.48,4.859999999999999,1.62,2.12,6-9 PM
sharjah,4.1,84.8,18,97.8,3.4,38.71,56.3,20.4,25.1169,55.3305,12.9,High,23.226,7.742000000000001,5.8065,1.9355000000000002,4.25,6-9 AM
al ain,21.4,20.2,185,55.8,1.4,23.84,58.8,40.0,24.6793,54.5354,22.6,Medium,14.304,4.768,3.576,1.192,1.75,6-9 PM
ajman,76.2,73.5,95,10.0,0.3,5.12,0.0,0.0,25.3904,54.9444,15.6,Low,3.072,1.024,0.768,0.256,0.38,6-9 AM
dubai,79.3,59.2,85,124.6,3.6,55.57,14.1,5.9,24.5916,54.4,19.2,Low,33.342,11.114,8.3355,2.7785,4.5,12-3 PM
abu dhabi,77.6,38.6,142,79.6,1.7,38.17,14.5,5.5,24.8482,55.4604,8.9,Medium,22.902,7.634,5.7255,1.9085,2.12,6-9 PM
ras al khaimah,14.2,26.8,155,104.6,2.9,44.46,52.7,28.5,24.1589,55.8966,16.7,Medium,26.676,8.892000000000001,6.669,2.2230000000000003,3.62,6-9 PM
dubai,55.1,5.7,95,88.4,3.0,40.66,8.0,2.8,24.3387,54.4435,9.7,Medium,24.395999999999997,8.132,6.098999999999999,2.033,3.75,6-9 PM
sharjah,42.3,35.3,17,94.1,2.5,48.2,25.1,10.5,25.261,55.9063,16.3,Medium,28.92,9.64,7.23,2.41,3.12,12-3 PM
ras al khaimah,99.1,20.1,193,36.7,1.0,19.11,3.2,2.2,24.5948,54.6505,7.4,Low,11.466,3.822,2.8665,0.9555,1.25,12-3 PM
dubai,65.4,13.6,2,140.5,4.3,62.12,28.7,17.4,24.5911,55.1157,14.5,Low,37.272,12.424,9.318,3.106,5.38,6-9 PM
sharjah,93.5,73.8,174,69.9,2.2,34.22,2.3,1.4,24.369,55.4032,20.5,High,20.532,6.844,5.133,1.711,2.75,6-9 AM
abu dhabi,14.5,21.3,87,138.4,4.5,61.46,43.5,28.2,24.7374,54.3985,17.7,Medium,36.876,12.292000000000002,9.219,3.0730000000000004,5.62,6-9 PM
ajman,45.1,22.3,103,122.0,3.3,64.55,31.1,17.9,25.2087,54.8895,8.8,High,38.73,12.91,9.6825,3.2275,4.12,6-9 AM
abu dhabi,77.2,34.0,153,109.4,2.9,53.71,59.9,35.1,25.3427,54.1357,5.5,Low,32.226,10.742,8.0565,2.6855,3.62,6-9 AM
al ain,36.8,46.3,188,71.7,1.9,31.38,59.2,35.1,24.1052,55.3941,17.5,High,18.828,6.276,4.707,1.569,2.38,6-9 AM
dubai,63.3,51.4,30,8.3,0.3,3.73,47.1,21.5,24.8622,54.8332,22.9,High,2.238,0.746,0.5595,0.1865,0.38,6-9 AM
al ain,51.2,66.5,162,50.7,1.7,19.92,17.6,6.0,24.7009,55.7833,10.2,Medium,11.952,3.9840000000000004,2.988,0.9960000000000001,2.12,6-9 PM
ras al khaimah,99.2,58.9,132,101.4,3.0,53.68,6.7,3.6,24.9214,54.548,25.5,Medium,32.208,10.736,8.052,2.684,3.75,6-9 AM
al ain,17.4,48.2,74,52.9,1.3,21.47,9.4,5.8,24.6709,55.8472,15.0,Low,12.882,4.294,3.2205,1.0735,1.62,12-3 PM
al ain,93.5,39.4,85,19.4,0.7,7.62,41.4,16.3,24.598,54.2821,5.2,Medium,4.572,1.524,1.143,0.381,0.88,6-9 PM
abu dhabi,40.2,26.6,154,80.1,1.8,35.35,8.1,3.0,24.7078,55.2139,7.2,Medium,21.21,7.07,5.3025,1.7675,2.25,6-9 PM
al ain,46.8,71.0,28,27.4,0.6,13.45,17.0,11.6,24.873,54.6156,18.8,Medium,8.069999999999999,2.69,2.0174999999999996,0.6725,0.75,12-3 PM
ajman,52.9,31.8,101,49.4,1.3,23.85,5.5,2.0,24.7515,54.3636,15.6,Low,14.31,4.7700000000000005,3.5775,1.1925000000000001,1.62,12-3 PM
al ain,26.5,85.0,144,77.8,2.4,31.57,3.1,1.6,24.7082,54.1879,22.4,Medium,18.942,6.314,4.7355,1.5785,3.0,12-3 PM
al ain,96.4,58.6,108,21.9,0.5,8.93,23.4,14.0,25.2268,55.3113,9.0,Medium,5.358,1.786,1.3395,0.4465,0.62,12-3 PM
ajman,91.1,63.4,90,21.3,0.5,8.57,24.9,8.4,25.1185,54.4663,15.6,Medium,5.142,1.7140000000000002,1.2855,0.42850000000000005,0.62,6-9 AM
sharjah,97.3,50.9,104,35.5,1.1,16.63,11.5,6.0,24.5121,55.1456,15.0,Medium,9.978,3.326,2.4945,0.8315,1.38,6-9 PM
dubai,99.7,92.9,102,90.8,2.7,48.33,55.2,31.6,25.2009,55.9588,14.3,High,28.997999999999998,9.666,7.249499999999999,2.4165,3.38,6-9 PM
dubai,67.0,42.2,160,140.3,3.0,72.97,36.5,11.6,25.2805,54.6319,13.1,Low,43.782,14.594000000000001,10.9455,3.6485000000000003,3.75,6-9 AM
sharjah,45.2,42.7,164,39.7,0.9,17.9,17.5,8.2,24.2302,54.0699,13.2,Low,10.739999999999998,3.58,2.6849999999999996,0.895,1.12,6-9 PM
ras al khaimah,85.1,89.3,183,109.4,3.4,46.82,50.1,24.5,24.874,54.2856,15.9,Low,28.092,9.364,7.023,2.341,4.25,6-9 PM
ajman,2.4,60.5,15,32.5,0.7,14.02,33.2,17.3,24.428,54.2386,16.5,High,8.411999999999999,2.8040000000000003,2.1029999999999998,0.7010000000000001,0.88,6-9 AM
sharjah,83.4,44.9,64,97.1,2.0,49.05,26.7,8.4,25.1088,54.9266,16.3,Medium,29.429999999999996,9.81,7.357499999999999,2.4525,2.5,6-9 PM
abu dhabi,49.7,26.2,175,25.0,0.9,11.93,45.1,29.6,24.3582,55.4893,21.0,Medium,7.1579999999999995,2.386,1.7894999999999999,0.5965,1.12,12-3 PM
ajman,67.3,24.5,128,127.6,3.7,46.88,22.0,14.2,25.0071,54.5929,9.0,High,28.128,9.376000000000001,7.032,2.3440000000000003,4.62,6-9 AM
ajman,37.4,80.1,75,112.7,3.0,42.11,48.2,30.9,24.3827,54.2917,5.9,Medium,25.266,8.422,6.3165,2.1055,3.75,6-9 AM
al ain,36.9,27.9,126,103.7,3.0,46.32,0.3,0.2,24.7667,55.2815,20.1,Medium,27.791999999999998,9.264000000000001,6.9479999999999995,2.3160000000000003,3.75,6-9 AM
ras al khaimah,3.2,0.6,93,7.1,0.2,3.24,14.8,9.1,25.423,54.6024,10.3,Medium,1.944,0.6480000000000001,0.486,0.16200000000000003,0.25,12-3 PM
ajman,42.4,1.9,177,126.3,3.5,67.31,31.8,19.7,24.572,55.1503,13.1,Medium,40.386,13.462000000000002,10.0965,3.3655000000000004,4.38,12-3 PM
al ain,40.8,97.8,112,26.9,0.8,10.37,50.2,34.4,25.3136,55.8676,11.9,Medium,6.2219999999999995,2.074,1.5554999999999999,0.5185,1.0,6-9 AM
sharjah,22.5,56.0,89,82.4,2.5,41.64,44.6,27.9,25.4804,54.5827,11.8,Low,24.983999999999998,8.328000000000001,6.2459999999999996,2.0820000000000003,3.12,6-9 PM
al ain,24.7,48.9,125,117.6,2.7,61.29,56.0,19.5,25.3123,55.025,7.7,Medium,36.774,12.258000000000001,9.1935,3.0645000000000002,3.38,6-9 AM
sharjah,58.4,91.8,38,96.6,2.5,41.34,15.6,5.6,24.2488,55.6136,12.2,Medium,24.804000000000002,8.268,6.2010000000000005,2.067,3.12,6-9 PM
dubai,31.8,35.2,154,123.8,3.0,48.17,55.4,27.9,25.2295,55.3834,18.2,Low,28.902,9.634,7.2255,2.4085,3.75,6-9 AM
sharjah,83.0,79.5,41,107.8,3.4,43.59,6.9,4.0,24.0482,55.503,15.0,High,26.154,8.718000000000002,6.5385,2.1795000000000004,4.25,6-9 AM
dubai,11.1,72.2,5,114.6,3.6,54.93,11.9,7.5,24.59,55.5451,17.5,Low,32.958,10.986,8.2395,2.7465,4.5,12-3 PM
dubai,57.8,47.7,11,48.3,1.6,17.99,28.0,8.5,25.3061,55.0798,12.5,High,10.793999999999999,3.598,2.6984999999999997,0.8995,2.0,6-9 PM
al ain,16.0,77.5,14,60.0,1.6,31.16,12.7,6.0,25.0331,55.0721,19.5,Low,18.695999999999998,6.232,4.6739999999999995,1.558,2.0,12-3 PM
ras al khaimah,52.8,96.6,21,77.7,2.2,38.55,1.9,0.9,24.7991,55.4378,12.5,High,23.13,7.71,5.7825,1.9275,2.75,6-9 PM
abu dhabi,55.3,20.1,11,90.0,2.8,45.27,38.4,22.2,24.5818,55.3953,4.5,Medium,27.162000000000003,9.054,6.790500000000001,2.2635,3.5,12-3 PM
al ain,64.2,1.8,60,105.3,2.6,51.94,24.5,12.8,25.2184,55.3401,16.6,Low,31.163999999999998,10.388,7.7909999999999995,2.597,3.25,6-9 PM
dubai,42.7,82.1,192,85.6,3.0,32.8,55.4,34.4,25.0643,54.7643,18.8,Low,19.679999999999996,6.56,4.919999999999999,1.64,3.75,6-9 PM
abu dhabi,50.9,40.4,21,108.0,2.8,53.09,59.0,34.2,24.7026,55.6571,12.2,Medium,31.854,10.618000000000002,7.9635,2.6545000000000005,3.5,6-9 AM
ras al khaimah,18.1,54.4,135,26.9,0.8,12.59,55.5,27.3,25.3387,54.4724,21.0,Medium,7.553999999999999,2.5180000000000002,1.8884999999999998,0.6295000000000001,1.0,12-3 PM
abu dhabi,46.3,22.2,174,62.2,2.0,22.96,31.0,12.2,24.3449,54.3115,10.7,Low,13.776,4.5920000000000005,3.444,1.1480000000000001,2.5,6-9 PM
ras al khaimah,37.3,84.2,162,137.4,4.3,56.5,18.5,10.3,24.2556,54.6903,18.4,Low,33.9,11.3,8.475,2.825,5.38,6-9 PM
al ain,66.6,72.1,73,36.5,1.0,15.92,57.3,22.4,24.9642,54.5077,23.7,Medium,9.552,3.184,2.388,0.796,1.25,6-9 PM
dubai,43.5,95.3,11,25.8,0.7,11.81,22.4,12.5,25.458,55.3264,15.2,Medium,7.086,2.362,1.7715,0.5905,0.88,6-9 PM
dubai,77.9,47.5,74,113.0,3.3,44.35,22.7,8.2,24.3709,54.462,13.9,Medium,26.61,8.870000000000001,6.6525,2.2175000000000002,4.12,12-3 PM
al ain,42.6,97.7,120,33.2,0.9,15.1,38.1,14.7,24.3745,55.313,14.5,Low,9.059999999999999,3.02,2.2649999999999997,0.755,1.12,12-3 PM
ajman,23.6,51.1,151,71.4,2.1,38.01,38.0,17.9,24.2092,55.0264,23.1,Medium,22.805999999999997,7.602,5.701499999999999,1.9005,2.62,6-9 AM
ajman,27.4,62.1,29,108.2,3.5,45.86,6.3,3.2,25.2908,54.3049,17.0,Low,27.516,9.172,6.879,2.293,4.38,6-9 AM
sharjah,4.5,67.4,60,75.3,1.6,29.16,11.5,7.8,24.3396,54.5168,25.7,Medium,17.496,5.832000000000001,4.374,1.4580000000000002,2.0,6-9 AM
sharjah,54.0,49.0,120,135.7,4.1,60.3,0.0,0.0,24.7548,55.0435,16.4,Low,36.18,12.06,9.045,3.015,5.12,6-9 PM
ras al khaimah,83.1,56.3,143,132.3,2.8,58.36,5.9,2.8,25.4863,55.4662,11.7,High,35.016,11.672,8.754,2.918,3.5,12-3 PM
ajman,76.9,22.3,62,77.9,2.4,40.9,20.6,13.0,24.0182,54.7965,12.1,Medium,24.54,8.18,6.135,2.045,3.0,12-3 PM
dubai,43.8,36.2,164,144.3,3.3,63.96,56.9,20.2,24.8347,54.4657,15.3,Medium,38.376,12.792000000000002,9.594,3.1980000000000004,4.12,6-9 PM
ajman,19.6,70.2,160,47.3,1.3,19.1,48.0,14.7,24.7684,54.5902,4.8,High,11.46,3.8200000000000003,2.865,0.9550000000000001,1.62,6-9 AM
ras al khaimah,86.3,3.9,72,38.9,0.9,15.58,13.7,5.5,25.2112,54.1902,12.6,High,9.347999999999999,3.116,2.3369999999999997,0.779,1.12,6-9 PM
dubai,5.7,70.0,107,102.2,2.5,37.43,7.0,3.6,24.5329,54.0503,12.7,Medium,22.458,7.486000000000001,5.6145,1.8715000000000002,3.12,12-3 PM
sharjah,39.9,30.4,96,88.1,2.6,43.47,59.9,33.2,24.6155,55.9463,16.2,Medium,26.081999999999997,8.694,6.520499999999999,2.1735,3.25,6-9 PM
ras al khaimah,85.7,27.2,134,41.4,1.1,16.9,43.2,26.8,24.2519,54.1928,24.7,High,10.139999999999999,3.38,2.5349999999999997,0.845,1.38,6-9 PM
ajman,39.3,69.3,65,58.8,1.6,29.51,31.4,17.0,25.1112,54.2498,15.3,Low,17.706,5.902000000000001,4.4265,1.4755000000000003,2.0,12-3 PM
dubai,11.8,21.5,66,38.8,1.4,17.81,58.7,20.3,25.1771,55.7419,5.4,Medium,10.685999999999998,3.562,2.6714999999999995,0.8905,1.75,6-9 PM
dubai,26.6,96.2,85,39.4,0.9,19.23,57.2,35.3,24.205,55.327,10.4,Medium,11.538,3.846,2.8845,0.9615,1.12,6-9 PM
ajman,60.0,99.1,43,58.3,1.5,23.12,7.0,2.1,24.5902,54.8721,16.3,Medium,13.872,4.6240000000000006,3.468,1.1560000000000001,1.88,12-3 PM
sharjah,15.2,45.8,116,139.0,3.9,53.92,38.2,22.2,25.3394,55.298,15.5,High,32.352,10.784,8.088,2.696,4.88,6-9 PM
al ain,65.5,40.1,191,126.1,4.1,54.89,41.4,21.1,24.0041,55.87,23.1,Medium,32.934,10.978000000000002,8.2335,2.7445000000000004,5.12,6-9 PM
ajman,43.8,7.9,70,79.3,1.9,33.64,51.8,25.8,24.4481,54.1988,19.8,Medium,20.184,6.728000000000001,5.046,1.6820000000000002,2.38,6-9 AM
al ain,33.4,77.8,172,74.3,1.9,33.52,29.9,17.9,24.8326,54.4874,19.7,High,20.112000000000002,6.704000000000001,5.0280000000000005,1.6760000000000002,2.38,12-3 PM
abu dhabi,24.1,16.3,93,9.6,0.3,4.75,40.8,13.0,24.5011,55.7206,13.9,Medium,2.85,0.9500000000000001,0.7125,0.23750000000000002,0.38,6-9 AM
sharjah,82.3,93.3,33,72.0,2.0,37.7,21.3,9.9,24.4081,55.5613,20.5,Low,22.62,7.540000000000001,5.655,1.8850000000000002,2.5,12-3 PM
dubai,39.7,99.1,99,95.4,3.1,44.55,24.1,16.3,24.6901,55.9885,10.5,Low,26.729999999999997,8.91,6.682499999999999,2.2275,3.88,6-9 PM
ajman,73.8,12.2,100,117.9,2.5,47.24,33.8,10.3,24.2723,54.6278,19.8,Medium,28.344,9.448,7.086,2.362,3.12,6-9 AM
abu dhabi,44.0,68.3,5,56.6,1.4,23.39,12.8,8.3,24.7944,55.8898,13.6,Low,14.034,4.678,3.5085,1.1695,1.75,12-3 PM
sharjah,9.2,46.6,96,138.3,3.9,72.33,47.5,26.6,25.06,54.6874,7.8,Medium,43.397999999999996,14.466000000000001,10.849499999999999,3.6165000000000003,4.88,12-3 PM
sharjah,44.1,54.1,33,126.8,2.8,50.43,29.8,19.8,24.8629,55.4302,18.0,High,30.258,10.086,7.5645,2.5215,3.5,6-9 AM
abu dhabi,50.8,18.0,159,16.9,0.5,6.37,51.1,16.3,24.1397,55.7655,22.0,Low,3.822,1.274,0.9555,0.3185,0.62,6-9 PM
dubai,45.8,72.4,108,135.9,2.8,71.46,47.2,29.4,25.2666,54.3416,13.0,High,42.876,14.292,10.719,3.573,3.5,6-9 PM
ajman,81.6,16.7,61,37.3,1.0,13.61,33.7,17.3,24.2625,54.4113,22.8,Medium,8.165999999999999,2.722,2.0414999999999996,0.6805,1.25,6-9 AM
al ain,91.1,88.5,1,138.9,4.7,68.73,41.3,16.5,25.1472,55.1619,6.7,High,41.238,13.746000000000002,10.3095,3.4365000000000006,5.88,6-9 AM
abu dhabi,78.7,45.4,114,96.4,3.3,37.23,50.9,24.9,24.5408,55.6876,9.0,Low,22.337999999999997,7.446,5.584499999999999,1.8615,4.12,6-9 AM
sharjah,58.3,63.5,141,64.7,1.6,31.05,20.3,13.6,25.1741,54.1579,14.3,Medium,18.63,6.210000000000001,4.6575,1.5525000000000002,2.0,12-3 PM
abu dhabi,54.1,92.2,85,68.3,1.4,26.88,43.7,20.8,24.3094,55.7018,13.1,Medium,16.128,5.376,4.032,1.344,1.75,6-9 PM
ras al khaimah,64.5,73.8,181,86.6,2.9,45.16,55.4,19.7,24.28,54.6862,11.7,Medium,27.095999999999997,9.032,6.773999999999999,2.258,3.62,6-9 PM
sharjah,28.8,54.1,40,127.4,3.6,47.01,1.9,0.6,24.7455,54.8125,15.7,High,28.206,9.402,7.0515,2.3505,4.5,12-3 PM
al ain,81.2,40.3,151,126.4,3.6,52.43,30.0,9.2,24.0494,54.6797,12.4,High,31.458,10.486,7.8645,2.6215,4.5,6-9 AM
abu dhabi,85.7,46.2,99,65.2,2.1,32.66,8.7,3.3,24.3379,55.823,13.2,Low,19.595999999999997,6.532,4.898999999999999,1.633,2.62,6-9 AM
dubai,26.7,34.2,63,128.1,3.3,59.2,23.1,12.0,25.086,54.2616,16.4,Medium,35.52,11.840000000000002,8.88,2.9600000000000004,4.12,6-9 AM
ajman,90.3,94.6,58,73.4,1.9,32.0,49.7,21.9,25.2561,55.1485,11.7,Medium,19.2,6.4,4.8,1.6,2.38,12-3 PM
ajman,84.9,25.3,90,65.5,2.1,28.71,11.9,7.7,24.1212,54.2962,14.5,Low,17.226,5.742000000000001,4.3065,1.4355000000000002,2.62,12-3 PM
al ain,42.4,40.9,17,40.3,1.1,18.15,2.2,1.4,25.3231,55.8572,11.8,High,10.889999999999999,3.63,2.7224999999999997,0.9075,1.38,6-9 AM
al ain,90.9,77.8,130,125.0,3.9,67.38,17.1,8.3,25.1963,55.5959,9.0,Medium,40.428,13.475999999999999,10.107,3.3689999999999998,4.88,6-9 PM
al ain,12.0,36.4,82,94.9,3.2,45.67,46.8,18.4,25.3045,54.4676,18.8,High,27.402,9.134,6.8505,2.2835,4.0,6-9 PM
ajman,2.8,88.7,136,67.5,1.7,30.22,6.5,3.0,25.0476,54.5956,23.5,High,18.131999999999998,6.0440000000000005,4.5329999999999995,1.5110000000000001,2.12,6-9 AM
